"year","authors","journal","title","type","pdf?","keywords","keywords_online?","notes"
"2011","Bos et al.","Political Communication","How the Media Shape Perceptions of Right-Wing Populist Leaders","article","y","y","y",""
"2019","Blassnig et al.","Political Communication","Hitting a Nerve: Populist News Articles Lead to More Frequent and More Populist Reader Comments","article","y","y","y",""
"2017","Caramani","American Political Science Review","Will vs. Reason: The Populist and Technocratic Forms of Political Representation and Their Critique to Party Government","article","y","y","",""
"2020","Wuttke,Schimpf, Schoen","American Political Science Review","When the Whole Is Greater than the Sum of Its Parts: On the Conceptualization and Measurement of Populist Attitudes and Other Multidimensional Constructs","article","y","y","",""
"2014","Treib","Journal of European Public Policy","The voter says no, but nobody listens: causes and consequences of the Eurosceptic vote in the 2014 European elections","article","y","y","",""
"2016","Hobolt","Journal of European Public Policy","The Brexit vote: a divided nation, a divided continent","article","y","y","",""
"2018","Kreuder-Sonnen","Journal of European Public Policy","An authoritarian turn in Europe and European Studies?","article","y","y","",""
"2019","McDonnell, Werner","Journal of European Public Policy","Differently Eurosceptic: radical right populist parties and their supporters","article","y","y","",""
"2019","Schmidt","Journal of European Public Policy","Politicization in the EU: between national politics and EU political dynamics","article","y","y","",""
"2020","Bakker et al.","Journal of European Public Policy","Multidimensional incongruence, political disaffection, and support for anti-establishment parties","article","y","y","",""
"2020","Bisbee et al.","Journal of European Public Policy","Decompensating domestically: the political economy of anti-globalism","article","y","y","",""
"2020","Escartin","Journal of European Public Policy","Populist challenges to EU foreign policy in the Southern Neighbourhood: an informal and illiberal Europeanisation?","article","y","y","",""
"2020","Spencer, Oppermann","Journal of European Public Policy","Narrative genres of Brexit: the Leave campaign and the success of romance","article","y","y","",""
"2018","Lockwood","Environmental Politics","Right-wing populism and the climate change agenda: exploring the linkages","article","y","y","",""
"2020","Huber","Environmental Politics","The role of populist attitudes in explaining climate change skepticism and support for environmental protection","article","y","y","",""
"2018","Hurrell","Ethics & International Affairs","Beyond the BRICS: Power, Pluralism, and the Future of Global Order","article","y","y","y",""
"2015","Verbeek, Zaslove","European Political Science Review","The impact of populist radical right parties on foreign policy: the Northern League as a junior coalition partner in the Berlusconi Governments","article","y","y","",""
"2018","Rooduijn","European Political Science Review","What unites the voter bases of populist parties? Comparing the electorates of 15 populist parties","article","y","y","",""
"2018","Bobba et al.","The International Journal of Press/Politics","Populism and the Gender Gap: Comparing Digital Engagement with Populist and Non-populist Facebook Pages in France, Italy, and Spain","article","y","y","",""
"2018","Hameleers et al.","The International Journal of Press/Politics","Start Spreading the News: A Comparative Experiment on the Effects of Populist Communication on Political Engagement in Sixteen European Countries","article","y","y","",""
"2018","Wirz et al.","The International Journal of Press/Politics","The Effects of Right-Wing Populist Communication on Emotions and Cognitions toward Immigrants","article","y","y","",""
"2019","de Jonge","The International Journal of Press/Politics","The Populist Radical Right and the Media in the Benelux: Friend or Foe?","article","y","y","",""
"2018","Micozzi","Latin American Politics and Society","Division or Union of Labor? Analyzing Workers’ Representation in the Argentine Congress","article","y","y","",""
"2020","Pevehouse","International Organization","The COVID-19 Pandemic, International Cooperation, and Populism","article","y","y","y",""
"2012","Nicholson, Segura","Political Behavior","Who’s the Party of the People? Economic Populism and the U.S. Public’s Beliefs About Political Parties","article","y","y","",""
"2020","Bertsou, Caramani","American Journal of Political Science","People Haven’t Had Enough of Experts: TechnocraticcAttitudes among Citizens in Nine European Democracies","article","y","y","",""
"2012","Colburn, Cruz","Journal of Democracy","Personalism and Populism in Nicaragua","article","y","y","y",""
"2012","McCargo, Zarakol","Journal of Democracy","Turkey and Thailand: Unlikely Twins","article","y","y","y",""
"2013","De la Torre","Journal of Democracy","Latin America’s Authoritarian Drift: Technocratic Populism in Ecuador","article","y","y","y",""
"2013","Kornblith","Journal of Democracy","Latin America’s Authoritarian Drift: Chavismo After Chávez?","article","y","y","y",""
"2013","Mazzuca","Journal of Democracy","Lessons from Latin America: The Rise of Rentier Populism","article","y","y","y",""
"2013","Pappas","Journal of Democracy","Why Greece Failed","article","y","y","y",""
"2013","Weyland","Journal of Democracy","Latin America’s Authoritarian Drift: The Threat from the Populist Left","article","y","y","y",""
"2014","Mietzner","Journal of Democracy","Indonesia’s 2014 Elections: How Jokowi Won and Democracy Survived","article","y","y","y",""
"2016","Fomina, Kucharczyk","Journal of Democracy","The Specter Haunting Europe: Populism and Protest in Poland","article","y","y","y",""
"2016","Church, Vatter","Journal of Democracy","Shadows in the Swiss Paradise","article","y","y","y",""
"2016","Lochocki","Journal of Democracy","The Specter Haunting Europe: Will the German Center Hold?","article","y","y","y",""
"2016","Pappas","Journal of Democracy","The Specter Haunting Europe: Distinguishing Liberal Democracy’s Challengers","article","y","y","y",""
"2016","Reynié","Journal of Democracy","The Specter Haunting Europe: “Heritage Populism” and France’s National Front","article","y","y","y",""
"2016","Rupnik","Journal of Democracy","The Specter Haunting Europe: Surging Illiberalism in the East","article","y","y","y",""
"2017","Applebaum","Journal of Democracy","Britain After Brexit: A Transformed Political Landscape","article","y","y","y",""
"2017","Fish","Journal of Democracy","The Kremlin Emboldened: What Is Putinism?","article","y","y","y",""
"2017","Ford, Goodwin","Journal of Democracy","Britain After Brexit: A Nation Divided","article","y","y","y",""
"2017","Gallagher","Journal of Democracy","Britain After Brexit: Resistance from Scotland","article","y","y","y",""
"2017","Galston","Journal of Democracy","The 2016 U.S. Election: The Populist Moment","article","y","y","y",""
"2017","Guelke","Journal of Democracy","Britain After Brexit: The Risk to Northern Ireland","article","y","y","y",""
"2017","Puddington, Roylance","Journal of Democracy","The Freedom House Survey for 2016: The Dual Threat of Populists and Autocrats","article","y","y","y",""
"2017","Qvortrup","Journal of Democracy","The Rise of Referendums: Demystifying Direct Democracy","article","y","y","y",""
"2017","Snyder","Journal of Democracy","The Modernization Trap","article","y","y","y",""
"2017","Topaloff","Journal of Democracy","The Rise of Referendums: Elite Strategy or Populist Weapon?","article","y","y","y",""
"2018","de la Torre","Journal of Democracy","Latin America’s Shifting Politics: Ecuador After Correa","article","y","y","y",""
"2018","Galston","Journal of Democracy","The Populist Challenge to Liberal Democracy","article","y","y","y",""
"2018","Gamboa","Journal of Democracy","Latin America’s Shifting Politics: The Peace Process and Colombia’s Elections","article","n","y","y","NEJDE STÁHNOUT - NEMÁM PŘÍSTUP"
"2018","Margulies","Journal of Democracy","Exchange: Nativists Are Populists, Not Liberals","article","y","y","y",""
"2018","Mungiu-Pippidi","Journal of Democracy","Explaining Eastern Europe: Romania’s Italian-Style Anticorruption Populism","article","y","y","y",""
"2018","Pappas","Journal of Democracy","Exchange: How to Tell Nativists from Populists","article","y","y","y",""
"2018","Pehe","Journal of Democracy","Explaining Eastern Europe: Czech Democracy Under Pressure","article","y","y","y",""
"2018","Wike, Fetterolf","Journal of Democracy","Liberal Democracy’s Crisis of Confidence","article","y","y","y",""
"2019","Berman, Snegovaya","Journal of Democracy","Populism and the Decline of Social Democracy","article","y","y","y",""
"2019","Grzymala-Busse","Journal of Democracy","The Failure of Europe’s Mainstream Parties","article","y","y","y",""
"2019","Hunter, Power","Journal of Democracy","Bolsonaro and Brazil’s Illiberal Backlash","article","y","y","y",""
"2019","Chamorel","Journal of Democracy","Macron versus the Yellow Vests","article","y","y","y",""
"2019","Mudde","Journal of Democracy","The 2019 EU Elections: Moving the Center","article","y","y","y",""
"2019","Pappas","Journal of Democracy","Populists in Power","article","y","y","y",""
"2019","Shah","Journal of Democracy","Pakistan: Voting Under Military Tutelage","article","y","y","y",""
"2019","Thompson","Journal of Democracy","Southeast Asia’s Troubling Elections: Is There a Silver Lining?","article","y","y","y",""
"2020","de Lara, de la Torre","Journal of Democracy","The Pushback Against Populism: Why Ecuador’s Referendums Backfired","article","y","y","y",""
"2020","Diamond","Journal of Democracy","Breaking Out of the Democratic Slump","article","y","y","y",""
"2020","Fukuyama","Journal of Democracy","30 Years of World Politics: What Has Changed?","article","y","y","y",""
"2020","Krastev","Journal of Democracy","The Fear of Shrinking Numbers","article","y","y","y",""
"2020","Kuisz, Wigura","Journal of Democracy","The Pushback Against Populism: Reclaiming the Politics of Emotion","article","y","y","y",""
"2020","Nodia","Journal of Democracy","Democracy’s Inevitable Elites","article","y","y","y",""
"2020","Pappas","Journal of Democracy","The Pushback Against Populism: The Rise and Fall of Greece’s New Illiberalism","article","y","y","y",""
"2020","Repucci","Journal of Democracy","The Freedom House Survey for 2019: The Leaderless Struggle for Democracy","article","y","y","y",""
"2020","Smith","Journal of Democracy","Covid vs. Democracy: Brazil’s Populist Playbook","article","y","y","y",""
"2020","Whitehead","Journal of Democracy","The Hard Truths of Brexit","article","y","y","y",""
"2020","Wuthrich, Ingleby","Journal of Democracy","The Pushback Against Populism: Running on “Radical Love” in Turkey","article","y","y","y",""
"2011","Doyle","Comparative Political Studies","The Legitimacy of Political Institutions: Explaining Contemporary Populism in Latin America","article","y","y","",""
"2012","Resnick","Comparative Political Studies","Opposition Parties and the Urban Poor in African Democracies","article","y","y","",""
"2014","Akkerman et al.","Comparative Political Studies","How Populist Are the People? Measuring Populist Attitudes in Voters","article","y","y","",""
"2018","Mudde, Rovira Kaltwasser","Comparative Political Studies","Studying Populism in Comparative Perspective: Reflections on the Contemporary and Future Research Agenda","article","y","y","",""
"2020","Gidron, Hall","Comparative Political Studies","Populism as a Problem of Social Integration","article","y","y","",""
"2013","Webb","European Journal of Political Research","Who is willing to participate? Dissatisfied democrats, stealth democrats and populists in the United Kingdom","article","y","y","",""
"2015","Bakker, Rooduijn, Schumacher","European Journal of Political Research","The psychological roots of populist voting: Evidence from the United States, the Netherlands and Germany","article","y","y","",""
"2016","Bowler et al.","European Journal of Political Research","Right-wing populist party supporters: Dissatisfied but not direct democrats","article","y","y","",""
"2017","Agerberg","European Journal of Political Research","Failed expectations: Quality of government and support for populist parties in Europe","article","y","y","",""
"2017","Bischof, Senninger","European Journal of Political Research","Simple politics for the people? Complexity in campaign messages and political knowledge","article","y","y","",""
"2017","Van Hauwaert, Van Kessel","European Journal of Political Research","Beyond protest and discontent: A cross-national analysis of the effect of populist attitudes and issue positions on populist party support","article","y","y","",""
"2018","Beckstein, Rampton","European Journal of Political Research","Conservatism between theory and practice: The case of migration to Europe","article","y","y","",""
"2018","Rooduijn","European Journal of Political Research","State of the field: How to study populism and adjacent topics? A plea for both more and less focus","article","y","y","",""
"2019","Bos et al.","European Journal of Political Research","The effects of populism as a social identity frame on persuasion and mobilisation: Evidence from a 15-country experiment","article","y","y","",""
"2019","Kantola, Lombardo","European Journal of Political Research","Populism and feminist politics: The cases of Finland and Spain","article","y","y","",""
"2019","Larsen, Cutts, Goodwin","European Journal of Political Research","Do terrorist attacks feed populist Eurosceptics? Evidence from two comparative quasi-experiments","article","y","y","",""
"2019","Rico, Guinjoan, Anduiza","European Journal of Political Research","Empowered and enraged: Political efficacy, anger and support for populism in Europe","article","y","y","",""
"2019","Schaub, Morisi","European Journal of Political Research","Voter mobilisation in the echo chamber: Broadband internet and the rise of populism in Europe","article","y","y","",""
"2012","Hadiz, Robison","New Political Economy","Political Economy and Islamic Politics: Insights from the Indonesian Case","article","y","y","",""
"2017","Loeppky","New Political Economy","‘Adaptive accumulation’ and US political economy","article","y","y","",""
"2020","Bluhm, Varga","New Political Economy","Conservative Developmental Statism in East Central Europe and Russia","article","y","y","",""
"2020","Toplišek","New Political Economy","The Political Economy of Populist Rule in Post-Crisis Europe: Hungary and Poland","article","y","y","",""
"2011","Berrios et al.","Review of International Political Economy","Explaining hydrocarbon nationalization in Latin America: Economics and political ideology","article","y","y","",""
"2017","Blyth, Matthijs","Review of International Political Economy","Black Swans, Lame Ducks, and the mystery of IPE's missing macroeconomy","article","y","y","",""
"2017","Schmidt","Review of International Political Economy","Britain-out and Trump-in: a discursive institutionalist analysis of the British referendum on the EU and the US presidential election","article","y","y","",""
"2018","Capelos, Katsanidou","Political Psychology","Reactionary Politics: Explaining the Psychological Roots of Anti Preferences in European Integration and Immigration Debates","article","y","y","",""
"2019","Golec de Zavala et al.","Political Psychology","Collective Narcissism: Political Consequences of Investing Self-Worth in the Ingroup’s Image","article","y","y","",""
"2019","Hall, Ross","Political Psychology","Rethinking Affective Experience and Popular Emotion: World War I and the Construction of Group Emotion in International Relations","article","y","y","",""
"2019","Rothmund et al.","Political Psychology","Justice for the People? How Justice Sensitivity Can Foster and Impair Support for Populist Radical-Right Parties and Politicians in the United States and in Germany","article","y","y","",""
"2019","Stanojevic et al.","Political Psychology","Good Workers and Crooked Bosses: The Effect of Voice Suppression by Supervisors on Employees’ Populist Attitudes and Voting","article","y","y","",""
"2020","Montiel, Uyheng","Political Psychology","Mapping Contentious Collective Emotions in a Populist Democracy: Duterte’s Push for Philippine Federalism","article","y","y","",""
"2020","Merkley","Public Opinion Quarterly","Anti-Intellectualism, Populism, and Motivated Resistance to Expert Consensus","article","y","y","",""
"2017","Thielemann, Zaun","JCMS: Journal of Common Market Studies","Escaping Populism – Safeguarding Minority Rights: Non-majoritarian Dynamics in European Policy-making","article","y","y","",""
"2017","Zaun","JCMS: Journal of Common Market Studies","States as Gatekeepers in EU Asylum Politics: Explaining the Non-adoption of a Refugee Quota System","article","y","y","",""
"2018","Hix","JCMS: Journal of Common Market Studies","When Optimism Fails: Liberal Intergovernmentalism and Citizen Representation","article","y","y","",""
"2017","Spierings, Zaslove","West European Politics","Gender, populist attitudes, and voting: explaining the gender gap in voting for populist radical right and populist radical left parties","article","y","y","",""
"2019","Bernhard, Kriesi","West European Politics","Populism in election times: a comparative analysis of 11 countries in Western Europe","article","y","y","",""
"2019","Caiani, Graziano","West European Politics","Understanding varieties of populism in times of crises","article","y","y","",""
"2019","Caramani, Manucci","West European Politics","National past and populism: the re-elaboration of fascism and its impact on right-wing populism in Western Europe","article","y","y","",""
"2019","Lisi et al.","West European Politics","Economic crisis and the variety of populist response: evidence from Greece, Portugal and Spain","article","y","y","",""
"2019","Lutz","West European Politics","Variation in policy success: radical right populism and migration policy","article","y","y","",""
"2019","Nai, Martínez i Coma","West European Politics","The personality of populists: provocateurs, charismatic leaders, or drunken dinner guests?","article","y","y","",""
"2019","Surel","West European Politics","How to stay populist? The Front National and the changing French party system","article","y","y","",""
"2019","Usherwood","West European Politics","Shooting the fox? UKIP’s populism in the post-Brexit era","article","y","y","",""
"2020","Adler, Ansell","West European Politics","Housing and populism","article","y","y","",""
"2020","Arter","West European Politics","When a pariah party exploits its demonised status: the 2019 Finnish general election","article","y","y","",""
"2020","Helbling, Jungkunz","West European Politics","Social divides in the age of globalization","article","y","y","",""
"2020","Marcos-Marne et al.","West European Politics","Who votes for new parties? Economic voting, political ideology and populist attitudes","article","y","y","",""
"2020","Wuttke","West European Politics","New political parties through the voters’ eyes","article","y","y","",""
"2020","Marien et al.","West European Politics","Deliberative qualities in televised election debates: the influence of the electoral system and populism","article","y","y","",""
"2020","Gonzalez-Vicente","Territory, Politics, Governance","The liberal peace fallacy violent neoliberalism and the temporal and spatial traps of state-based approaches to peace","article","y","y","",""
"2017","Hobson","Perspectives on Politics","Democratic Peace: Progress and Crisis","article","y","y","",""
"2018","Lake","Perspectives on Politics","International Legitimacy Lost? Rule and Resistance When America Is Firs","article","y","y","",""
"2019","Bagg, Tranvik","Perspectives on Politics","An Adversarial Ethics for Campaigns and Elections","article","y","y","",""
"2019","Lebow","Perspectives on Politics","Trumpism and the Dialectic of Neoliberal Reason","article","y","y","",""
"2019","Lee","Perspectives on Politics","Populism and the American Party System: Opportunities and Constraints","article","y","y","",""
"2020","Art","Perspectives on Politics","The Myth of Global Populism","article","y","y","",""
"2020","McDonnell, Ondelli","Perspectives on Politics","The Language of Right-Wing Populist Leaders: Not So Simple","article","y","y","",""
"2020","Voeten","Perspectives on Politics","Populism and Backlashes against International Courts","article","y","y","",""
"2020","Weyland","Perspectives on Politics","Populism’s Threat to Democracy: Comparative Lessons for the United States","article","y","y","",""
"2013","Bordignon, Ceccarini","South European Society and Politics","Five Stars and a Cricket. Beppe Grillo Shakes Italian Politics","article","y","y","",""
"2014","Bordignon","South European Society and Politics","Matteo Renzi: A ‘Leftist Berlusconi’ for the Italian Democratic Party?","article","y","y","",""
"2015","Alonso, Rovira Kaltwasser","South European Society and Politics","Spain: No Country for the Populist Radical Right?","article","y","y","",""
"2015","Özen","South European Society and Politics","An Unfinished Grassroots Populism: The Gezi Park Protests in Turkey and Their Aftermath","article","y","y","",""
"2016","Bobba, McDonnell","South European Society and Politics","Different Types of Right-Wing Populist Discourse in Government and Opposition: The Case of Italy","article","y","y","",""
"2016","Rodríguez-Teruel et al.","South European Society and Politics","Fast and Furious: Podemos’ Quest for Power in Multi-level Spain","article","y","y","",""
"2018","Charalambous, Christoforou","South European Society and Politics","Far-Right Extremism and Populist Rhetoric: Greece and Cyprus during an Era of Crisis","article","y","y","",""
"2018","Lisi, Borghetto","South European Society and Politics","Populism, Blame Shifting and the Crisis: Discourse Strategies in Portuguese Political Parties","article","y","y","",""
"2018","Tronconi","South European Society and Politics","The Italian Five Star Movement during the Crisis: Towards Normalisation?","article","y","y","",""
"2019","Sözen","South European Society and Politics","Competition in a Populist Authoritarian Regime: The June 2018 Dual Elections in Turkey","article","y","y","",""
"2020","Conti et al.","South European Society and Politics","Policy Polarisation in Italy: The Short and Conflictual Life of the ‘Government of Change’ (2018–2019)","article","y","y","",""
"2020","Santana-Pereira, Cancela","South European Society and Politics","Demand without Supply? Populist Attitudes and Voting Behaviour in Post-Bailout Portugal","article","y","y","",""
"2018","Stoker","Policy and Politics","Can the governance paradigm survive the rise of populism?","article","y","y","",""
"2019","Batory, Svensson","Policy and Politics","The use and abuse of participatory governance by populist governments","article","y","y","",""
"2018","Walker et al.","International Political Sociology","Collective Discussion: Diagnosing the Present","article","y","y","",""
"2019","Lizotte","Political Geography","Where are the people? Refocusing political geography on populism","article","y","y","",""
"2020","Bosworth","Political Geography","The People’s Climate March: Environmental populism as political genre","article","y","y","",""
"2020","Fall","Political Geography","Territory, sovereignty and entitlement: Diplomatic discourses in the United Nations Security Council","article","y","y","",""
"2019","Aharoni, Féron","Cooperation and Conflict","National populism and gendered vigilantism: The case of the Soldiers of Odin in Finland","article","y","y","",""
"2019","Boucher, Thies","The Journal of Politics","“I Am a Tariff Man”: The Power of Populist Foreign Policy Rhetoric under President Trump","article","y","y","",""
"2019","Busby, Gubler, Hawkins","The Journal of Politics","Framing and Blame Attribution in Populist Rhetoric","article","y","y","",""
"2019","Drezner","The Journal of Politics","Present at the Destruction: The Trump Administration and the Foreign Policy Bureaucracy","article","y","y","",""
"2017","Steenbergen, S","European Union Politics","Better the devil you know? Risk-taking, globalization and populism in Great Britain","article","y","y","",""
"2012","Dinçşahin","Government and Opposition","A Symptomatic Analysis of the Justice and Development Party’s Populism in Turkey, 2007–2010","article","y","y","y",""
"2018","Houle, Kenny","Government and Opposition","The Political and Economic Consequences of Populist Rule in Latin America","article","y","y","",""
"2020","Hawkins, Rovira Kaltwasser, Andreadis","Government and Opposition","The Activation of Populist Attitudes","article","y","y","",""
"2018","Moore","Political Studies Review","Conspiracies, Conspiracy Theories and Democracy","article","y","y","",""
"2019","Sozen","Political Studies Review","Populist Peril to Democracy: The Sacralization and Singularization of Competitive Elections","article","y","y","",""
"2019","Street","Political Studies Review","What is Donald Trump? Forms of ‘Celebrity’ in Celebrity Politics","article","y","y","",""
"2020","Béland","Political Studies Review","Right-Wing Populism and the Politics of Insecurity: How President Trump Frames Migrants as Collective Threats","article","y","y","",""
"2018","Iakhnis et al.","Research & Politics","Populist referendum: Was ‘Brexit’ an expression of nativist and anti-elitist sentiment?","article","y","y","",""
"2019","Kurer, Palier","Research & Politics","Shrinking and shouting: the political revolt of the declining middle in times of employment polarization","article","y","y","",""
"2020","Wuttke et al.","Research & Politics","Leader of the free world or pioneer in democracy’s decline? Examining the democratic deconsolidation hypothesis on the mass level in East and West Germany","article","y","y","",""
"2019","Çapan, Zarakol","Cambridge Review of International Affairs","Turkey’s ambivalent self: ontological insecurity in ‘Kemalism’ versus ‘Erdoğanism’","article","y","y","",""
"2019","Steele","Cambridge Review of International Affairs","Welcome home! Routines, ontological insecurity and the politics of US military reunion videos","article","y","y","",""
"2019","Subotic","Cambridge Review of International Affairs","Political memory after state death: the abandoned Yugoslav national pavilion at Auschwitz","article","y","y","",""
"2017","Caruso","Politics & Society","Digital Capitalism and the End of Politics: The Case of the Italian Five Star Movement","article","y","y","",""
"2012","Conversi","Democratization","Majoritarian democracy and globalization versus ethnic diversity?","article","y","y","",""
"2012","Kaltwasser","Democratization","The ambivalence of populism: threat and corrective for democracy","article","y","y","",""
"2013","Levitsky, Loxton","Democratization","Populism and competitive authoritarianism in the Andes","article","y","y","",""
"2015","Cheeseman, Larmer","Democratization","Ethnopopulism in Africa: opposition mobilization in diverse and unequal societies","article","y","y","",""
"2016","Aslanidis, Kaltwasser","Democratization","Dealing with populists in government: the SYRIZA-ANEL coalition in Greece","article","y","y","",""
"2016","Batory","Democratization","Populists in government? Hungary's “system of national cooperation”","article","y","y","",""
"2016","de la Torre, Ortiz Lemos","Democratization","Populist polarization and the slow death of democracy in Ecuador","article","y","y","",""
"2016","Hawkins","Democratization","Responding to radical populism: Chavismo in Venezuela","article","y","y","",""
